"!<","op"
"^<","op"
"^=","op"
"^>","op"
",","op"
":=","op"
"!=","op"
"!>","op"
"(","op"
")","op"
"<","op"
"<=","op"
"<>","op"
"=","op"
">","op"
">=","op"
"""||""","op-ignore"
"""~<""","op-ignore"
"~=","op"
"~>","op"
"ABS","func"
"ACCENT",
"ACOS","func"
"ACTION",
"ACTIVE",
"ADD",
"ADMIN",
"AFTER",
"ALL",
"ALTER","state"
"ALWAYS",
"AND","op"
"ANY",
"AS","state"
"ASC",
"ASCENDING",
"ASCII_CHAR","func"
"ASCII_VAL","func"
"ASIN","func"
"AT",
"ATAN","func"
"ATAN2","func"
"AUTO",
"AUTONOMOUS",
"AVG","group_op"
"BACKUP",
"BEFORE",
"BEGIN","key"
"BETWEEN",
"BIGINT","type"
"BIN_AND","func"
"BIN_NOT","func"
"BIN_OR","func"
"BIN_SHL","func"
"BIN_SHR","func"
"BIN_XOR","func"
"BIT_LENGTH","func"
"BLOB","type"
"BLOCK",
"BOTH",
"BREAK",
"BY","state"
"CALLER",
"CASCADE",
"CASE",
"CAST","func"
"CEIL","func"
"CEILING","func"
"CHAR","type"
"CHAR_LENGTH","func"
"CHAR_TO_UUID","func"
"CHARACTER","type"
"CHARACTER_LENGTH","func"
"CHECK",
"CLOSE",
"COALESCE","func"
"COLLATE",
"COLLATION",
"COLUMN",
"COMMENT",
"COMMIT","state"
"COMMITTED",
"COMMON",
"COMPUTED",
"CONDITIONAL",
"CONNECT",
"CONSTRAINT",
"CONTAINING",
"COS","func"
"COSH","func"
"COT","func"
"COUNT","group_op"
"CREATE","state"
"CROSS",
"CSTRING",
"CURRENT",
"CURRENT_CONNECTION",
"CURRENT_DATE",
"CURRENT_ROLE",
"CURRENT_TIME",
"CURRENT_TIMESTAMP",
"CURRENT_TRANSACTION",
"CURRENT_USER",
"CURSOR",
"DATA",
"DATABASE","state"
"DATE","type"
"DATEADD","func"
"DATEDIFF","func"
"DAY",
"DEC",
"DECIMAL","type"
"DECLARE",
"DECODE","func"
"DEFAULT","type_mod"
"DELETE","state"
"DELETING",
"DESC",
"DESCENDING",
"DESCRIPTOR",
"DIFFERENCE",
"DISCONNECT",
"DISTINCT",
